,parcellation_group,count
0,1,831
1,2,73
2,3,114
3,4,619
4,5,337
5,6,361
6,7,49
7,8,839
8,9,574
9,10,153
10,11,72
11,12,130
12,13,151
13,14,211
14,15,250
15,16,44
16,17,135
17,18,151
18,19,77
19,20,37
20,21,52
21,22,62
22,23,58
23,24,77
24,25,163
25,26,185
26,27,164
27,28,138
28,29,94
29,30,130
30,31,225
31,32,81
32,33,72
33,34,88
34,35,109
35,36,112
36,37,191
37,38,243
38,39,188
39,40,223
40,41,141
41,42,204
42,43,203
43,44,178
44,45,208
45,46,97
46,47,171
47,48,130
48,49,116
49,50,159
50,51,401
51,52,574
52,53,305
53,54,154
54,55,258
55,56,85
56,57,81
57,58,55
58,59,94
59,60,139
60,61,90
61,62,120
62,63,174
63,64,99
64,65,94
65,66,53
66,67,199
67,68,242
68,69,275
69,70,151
70,71,147
71,72,153
72,73,257
73,74,139
74,75,200
75,76,113
76,77,176
77,78,242
78,79,88
79,80,87
80,81,103
81,82,159
82,83,128
83,84,213
84,85,126
85,86,267
86,87,151
87,88,133
88,89,105
89,90,95
90,91,170
91,92,117
92,93,328
93,94,119
94,95,99
95,96,360
96,97,86
97,98,55
98,99,126
99,100,212
100,101,135
101,102,141
102,103,72
103,104,205
104,105,131
105,106,161
106,107,71
107,108,217
108,109,117
109,110,186
110,111,126
111,112,76
112,113,50
113,114,84
114,115,104
115,116,195
116,117,309
117,118,86
118,119,159
119,120,233
120,121,138
121,122,245
122,123,57
123,124,164
124,125,138
125,126,108
126,127,120
127,128,123
128,129,199
129,130,208
130,131,418
131,132,124
132,133,238
133,134,253
134,135,296
135,136,125
136,137,182
137,138,225
138,139,181
139,140,156
140,141,84
141,142,129
142,143,147
143,144,198
144,145,189
145,146,108
146,147,159
147,148,372
148,149,509
149,150,430
150,151,305
151,152,49
152,153,88
153,154,56
154,155,68
155,156,42
156,157,98
157,158,70
158,159,60
159,160,46
160,161,108
161,162,64
162,163,126
163,164,55
164,165,54
165,166,78
166,167,154
167,168,65
168,169,138
169,170,110
170,171,129
171,172,67
172,173,91
173,174,76
174,175,204
175,176,129
176,177,102
177,178,130
178,179,128
179,180,58
